x_m,eta_initial_m,eta_ader_dg_m,q_initial_m2_s,q_ader_dg_m2_s,b_initial_m,b_ader_dg_m,h_ader_dg_m
-3.0749999999999997,5.0,4.468251169556609,0.5,2.2237999420957224,3.0,2.988304890724909,1.4799462788317004
-2.925,5.0,4.468210388582905,0.5,2.22389687542263,3.0,2.988302409491518,1.4799079790913874
-2.7749999999999995,5.0,4.468165581732211,0.5,2.224005252965407,3.0,2.9883003924416425,1.4798651892905683
-2.625,5.0,4.468106879947458,0.5,2.224123476791309,3.0,2.9882963133889118,1.479810566558546
-2.4749999999999996,5.0,4.46805417749254,0.5,2.2242590678598555,3.0,2.988289532347478,1.4797646451450621
-2.3249999999999997,5.0,4.468014089681222,0.5,2.224341010325331,3.0,2.9882893396481673,1.4797247500330544
-2.175,5.0,4.467980577630291,0.5,2.224418360042226,3.0,2.988288815496786,1.479691762133505
-2.025,5.0,4.467943057156886,0.5,2.2245076366527377,3.0,2.988281535213252,1.4796615219436342
-1.8749999999999996,5.0,4.467928031544591,0.5,2.2245403229938225,3.0,2.9882766579101667,1.479651373634424
-1.7249999999999996,5.0,4.467931855479149,0.5,2.2245366087919725,3.0,2.9882774338333946,1.4796544216457543
-1.5749999999999997,5.0,4.467901602913465,0.5,2.22459600476573,3.0,2.9882885326601545,1.4796130702533108
-1.4249999999999996,5.0,4.467887847930591,0.5,2.224654232134807,3.0,2.9882347732648173,1.4796530746657734
-1.2749999999999997,5.0,4.467856208694388,0.5,2.224716724675662,3.0,2.9882401233860807,1.4796160853083076
-1.1249999999999998,5.0,4.4678396372369935,0.5,2.2248896015246604,3.0,2.9881054790510033,1.4797341581859902
-0.9749999999999996,5.0,4.467789796883157,0.5,2.2248358751734005,3.0,2.988366775743341,1.4794230211398154
-0.8249999999999997,5.0,4.46780159854821,0.5,2.22488703845908,3.0,2.988224737865597,1.479576860682613
-0.6749999999999997,5.0,4.467770821413625,0.5,2.224899075291063,3.0,2.9882950138163853,1.4794758075972396
-0.5249999999999997,5.0,4.4677408683293125,0.5,2.225417807554941,3.0,2.9875742184398826,1.48016664988943
-0.3749999999999996,5.0,4.467740900335623,0.5,2.2249631081876133,3.0,2.988325920600308,1.4794149797353149
-0.22499999999999962,5.0,4.467704834329035,0.5,2.2250019715004203,3.0,2.988390777625932,1.4793140567031027
-0.07499999999999962,5.0,4.46785659092908,0.5,2.2251851349977287,3.0,2.987230112678366,1.4806264782507141
0.07499999999999962,4.84751,4.456493896298631,4.34297,2.3481886889328294,2.84751,2.8617158573278614,1.5947780389707695
0.22499999999999962,4.84751,4.473662397980414,4.34297,2.232307032885754,2.84751,2.9045032797142962,1.5691591182661178
0.3749999999999996,4.84751,4.481848484307509,4.34297,2.234007375489887,2.84751,2.8622489483928852,1.6195995359146238
0.5249999999999997,4.84751,4.4877197622579965,4.34297,2.234779752828444,2.84751,2.833743675965851,1.6539760862921455
0.6749999999999997,4.84751,4.4879428151146,4.34297,2.2347303858357765,2.84751,2.8340714697663474,1.6538713453482528
